Date,date2,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,difference
1980-12-12,,4.107142857142857,4.1242857142857146,4.107142857142857,4.107142857142857,2093900.0,0.0,1.0,0.42270591588018,0.42447025361603,0.42270591588018,0.42270591588018,117258400.0,-1.0
1980-12-15,,3.9114285714285715,3.9114285714285715,3.892857142857143,3.892857142857143,785200.0,0.0,1.0,0.40256306006259,0.40256306006259,0.40065169418209,0.40065169418209,43971200.0,-1.0
1980-12-16,,3.6242857142857146,3.6242857142857146,3.607142857142857,3.607142857142857,472000.0,0.0,1.0,0.37301040298714,0.37301040298714,0.37124606525129,0.37124606525129,26432000.0,-1.0
1980-12-17,,3.6957142857142857,3.7142857142857144,3.6957142857142857,3.6957142857142857,385900.0,0.0,1.0,0.38036181021984,0.38227317610034,0.38036181021984,0.38036181021984,21610400.0,1.0
1980-12-18,,3.8042857142857143,3.8214285714285716,3.8042857142857143,3.8042857142857143,327900.0,0.0,1.0,0.39153594921354,0.39330028694939,0.39153594921354,0.39153594921354,18362400.0,1.0
1980-12-19,,4.035714285714286,4.054285714285714,4.035714285714286,4.035714285714286,217100.0,0.0,1.0,0.41535450864748,0.41726587452798,0.41535450864748,0.41535450864748,12157600.0,1.0
1980-12-22,,4.232857142857143,4.25,4.232857142857143,4.232857142857143,166800.0,0.0,1.0,0.43564439260973,0.43740873034558,0.43564439260973,0.43564439260973,9340800.0,1.0
1980-12-23,,4.411428571428571,4.428571428571429,4.411428571428571,4.411428571428571,209600.0,0.0,1.0,0.45402291069148,0.45578724842733,0.45402291069148,0.45402291069148,11737600.0,1.0
1980-12-24,,4.642857142857143,4.661428571428572,4.642857142857143,4.642857142857143,214300.0,0.0,1.0,0.47784147012542,0.47975283600592,0.47784147012542,0.47784147012542,12000800.0,1.0
1980-12-26,,5.071428571428571,5.088571428571428,5.071428571428571,5.071428571428571,248100.0,0.0,1.0,0.52194991352162,0.52371425125746,0.52194991352162,0.52194991352162,13893600.0,1.0
1980-12-29,,5.142857142857143,5.161428571428572,5.142857142857143,5.142857142857143,415900.0,0.0,1.0,0.52930132075432,0.53121268663482,0.52930132075432,0.52930132075432,23290400.0,1.0
1980-12-30,,5.035714285714286,5.035714285714286,5.017142857142857,5.017142857142857,307500.0,0.0,1.0,0.51827420990527,0.51827420990527,0.51636284402477,0.51636284402477,17220000.0,-1.0
1980-12-31,,4.892857142857143,4.892857142857143,4.875714285714286,4.875714285714286,159600.0,0.0,1.0,0.50357139543987,0.50357139543987,0.50180705770402,0.50180705770402,8937600.0,-1.0
1981-01-02,,4.928571428571429,4.964285714285714,4.928571428571429,4.928571428571429,96700.0,0.0,1.0,0.50724709905622,0.51092280267257,0.50724709905622,0.50724709905622,5415200.0,1.0
1981-01-05,,4.838571428571428,4.838571428571428,4.821428571428571,4.821428571428571,159500.0,0.0,1.0,0.49798432594302,0.49798432594302,0.49621998820717,0.49621998820717,8932000.0,-1.0
1981-01-06,,4.624285714285714,4.624285714285714,4.607142857142857,4.607142857142857,201600.0,0.0,1.0,0.47593010424492,0.47593010424492,0.47416576650907,0.47416576650907,11289600.0,-1.0
1981-01-07,,4.428571428571429,4.428571428571429,4.411428571428571,4.411428571428571,248600.0,0.0,1.0,0.45578724842733,0.45578724842733,0.45402291069148,0.45402291069148,13921600.0,-1.0
1981-01-08,,4.338571428571429,4.338571428571429,4.321428571428571,4.321428571428571,177800.0,0.0,1.0,0.44652447531413,0.44652447531413,0.44476013757828,0.44476013757828,9956800.0,-1.0
1981-01-09,,4.554285714285714,4.571428571428571,4.554285714285714,4.554285714285714,96000.0,0.0,1.0,0.46872572515688,0.47049006289272,0.46872572515688,0.46872572515688,5376000.0,1.0
